index	P(0)	P(1)	P(2)	Pw	Cd0(0)	Cd0(1)	Cd0(2)	N(0)	N(1)	N(2)	Cd(0)	Cd(1)	Cd(2)	Cd(3)
5368	-0.665567	0.988475	-0.0517917	1	0.444913	0.268567	0.207333	-0.781222	0.624092	0.0141733	1.35379	0.563319	0.378238	1
5369	-0.665102	0.98797	-0.0562579	1	0.417885	0.229865	0.157709	-0.707062	0.583401	-0.399633	1.29602	0.509187	0.33363	1
5370	-0.665012	0.987872	-0.0471932	1	0.442784	0.256427	0.186364	-0.708454	0.577124	0.406228	1.32892	0.540277	0.353779	1
5371	-0.663143	0.985494	-0.0439067	1	0.417885	0.223582	0.168668	-0.357	0.251938	0.899488	1.27164	0.485892	0.302876	1
5372	-0.661022	0.982109	-0.0437748	1	0.417885	0.226804	0.154729	0.138168	-0.239889	0.960918	1.24093	0.458074	0.280913	1
5373	-0.65961	0.978483	-0.0460659	1	0.409931	0.217729	0.166735	0.481867	-0.639421	0.59912	1.22856	0.450817	0.28362	1
5374	-0.659093	0.976905	-0.0517944	1	0.401484	0.197275	0.143267	0.61582	-0.787746	0.0149166	1.19365	0.435842	0.27899	1
5375	-0.65948	0.978275	-0.0575887	1	0.376262	0.204528	0.147027	0.391069	-0.55853	-0.731511	1.15511	0.425659	0.276725	1
5376	-0.661245	0.982496	-0.0594585	1	0.336058	0.17913	0.147027	0.0680668	-0.125575	-0.989746	1.11891	0.409172	0.26754	1
5377	-0.663259	0.98569	-0.059314	1	0.384396	0.208878	0.151755	-0.348136	0.272953	-0.896827	1.16896	0.438322	0.281439	1
5378	-0.670384	0.982129	-0.0560243	1	0.42341	0.215502	0.157866	-0.558184	0.638781	-0.529519	1.31748	0.497013	0.341808	1
5379	-0.670209	0.980014	-0.0589888	1	0.405302	0.22128	0.183982	-0.271895	0.19947	-0.941427	1.19149	0.439659	0.299001	1
5380	-0.66998	0.983787	-0.054056	1	0.385906	0.204613	0.156182	-0.606174	0.738591	-0.295018	1.36971	0.531339	0.370833	1
5381	-0.67566	0.97999	-0.0544446	1	0.508881	0.270497	0.230739	-0.539922	0.712625	-0.44794	1.38525	0.525672	0.376758	1
5382	-0.669679	0.984243	-0.0517118	1	0.488557	0.301574	0.27284	-0.621826	0.78292	0.01919	1.4239	0.584488	0.415155	1
5383	-0.669764	0.983778	-0.0493355	1	0.381465	0.208286	0.150079	-0.60684	0.733037	0.30725	1.39088	0.566492	0.387695	1
5384	-0.675987	0.980369	-0.0517903	1	0.508881	0.303876	0.262251	-0.608232	0.79358	0.016848	1.47003	0.593055	0.425461	1
5385	-0.675474	0.980004	-0.0490993	1	0.508881	0.285577	0.234381	-0.541442	0.706916	0.455094	1.4471	0.580289	0.396794	1
5386	-0.670021	0.982181	-0.0472123	1	0.408937	0.23886	0.183091	-0.564456	0.633955	0.528668	1.36035	0.541776	0.35947	1
5387	-0.669931	0.979973	-0.0444523	1	0.406	0.214544	0.150079	-0.346601	0.268345	0.898809	1.30796	0.490477	0.308012	1
5388	-0.674123	0.978242	-0.0467581	1	0.508881	0.278969	0.208798	-0.467387	0.472366	0.747275	1.40462	0.542275	0.352581	1
5389	-0.674395	0.978287	-0.0566408	1	0.346996	0.167279	0.139907	-0.462842	0.471862	-0.750416	1.27229	0.467966	0.332091	1
5390	-0.678392	0.974688	-0.056727	1	0.400692	0.222412	0.162424	-0.519934	-0.217163	-0.826141	1.27078	0.472845	0.323467	1
5391	-0.680858	0.974997	-0.0549205	1	0.417885	0.205079	0.171441	-0.74327	-0.481515	-0.464428	1.34129	0.510389	0.353412	1
5392	-0.681761	0.97509	-0.0517932	1	0.422354	0.251198	0.188163	-0.921612	-0.387799	0.0155722	1.41095	0.566283	0.38464	1
5393	-0.680779	0.974989	-0.0486933	1	0.462077	0.250159	0.181165	-0.75408	-0.462294	0.466527	1.42855	0.571489	0.374123	1
5394	-0.678256	0.974581	-0.0466944	1	0.417885	0.228916	0.165558	-0.535293	-0.16147	0.829089	1.38607	0.537352	0.340128	1
5395	-0.669657	0.975774	-0.0585506	1	0.361483	0.189511	0.147027	0.098313	-0.317252	-0.943231	1.1857	0.440811	0.293927	1
5396	-0.6697	0.975574	-0.0449405	1	0.386788	0.196577	0.144398	0.0405133	-0.315296	0.948128	1.26575	0.460746	0.282488	1
5397	-0.673411	0.97402	-0.0453199	1	0.417885	0.209122	0.150364	-0.135981	-0.250284	0.958575	1.31985	0.491533	0.305976	1
5398	-0.668912	0.972449	-0.0467256	1	0.411919	0.219103	0.147027	0.309941	-0.81744	0.485518	1.27691	0.468599	0.292443	1
5399	-0.676066	0.970924	-0.0479971	1	0.44706	0.243609	0.188976	-0.181217	-0.823711	0.537272	1.34251	0.506985	0.318175	1
5400	-0.663921	0.973823	-0.0516852	1	0.37674	0.18835	0.147027	0.508434	-0.860892	0.0189889	1.23886	0.452772	0.287997	1
5401	-0.668869	0.972287	-0.0566054	1	0.417885	0.226499	0.163206	0.277572	-0.795625	-0.538456	1.24048	0.461867	0.299591	1
5402	-0.668977	0.971146	-0.0517103	1	0.417885	0.223228	0.168389	0.26359	-0.964518	0.0150047	1.30175	0.486049	0.307334	1
5403	-0.676132	0.970132	-0.0517075	1	0.434844	0.225126	0.164837	-0.225612	-0.974194	0.00665793	1.34558	0.511444	0.322773	1
5404	-0.675986	0.970767	-0.0551265	1	0.432143	0.222094	0.161648	-0.243482	-0.873456	-0.421654	1.31688	0.495798	0.319417	1
5405	-0.673112	0.974069	-0.0582353	1	0.374766	0.196417	0.154496	-0.117243	-0.253681	-0.960156	1.22303	0.454576	0.306157	1
5406	-0.676578	0.972345	-0.056958	1	0.456552	0.236038	0.19474	-0.405464	-0.540379	-0.737285	1.28893	0.482293	0.319943	1
5407	-0.676799	0.972724	-0.0462765	1	0.434458	0.245818	0.177584	-0.409135	-0.486631	0.77188	1.35698	0.518109	0.324601	1
5408	-0.679789	0.974957	-0.0486977	1	0.462077	0.267955	0.195956	-0.502648	-0.849487	0.160367	1.39234	0.555995	0.350028	1
5409	-0.678429	0.972382	-0.0483814	1	0.462077	0.250158	0.181164	-0.70315	-0.610123	0.365144	1.37101	0.535884	0.334656	1
5410	-0.680436	0.975084	-0.0518056	1	0.423409	0.248533	0.174129	-0.519273	-0.854584	-0.00643995	1.35536	0.543116	0.346922	1
5411	-0.6789	0.972116	-0.0518045	1	0.423409	0.240871	0.173489	-0.751243	-0.660006	-0.00516052	1.35055	0.53073	0.332632	1
5412	-0.679786	0.975013	-0.0548769	1	0.417885	0.219526	0.171441	-0.476595	-0.864164	-0.161485	1.30531	0.500235	0.330305	1
5413	-0.678371	0.972369	-0.0550286	1	0.417885	0.236039	0.171441	-0.69219	-0.627753	-0.356088	1.31903	0.504713	0.324738	1
5414	-0.634873	1.00397	-0.0634907	1	0.417885	0.250213	0.17638	-0.346344	0.336085	0.875839	1.29704	0.541654	0.337637	1
5415	-0.630983	1.00053	-0.0630024	1	0.400677	0.236039	0.161267	0.052723	-0.185902	0.981153	1.24747	0.49788	0.309886	1
5416	-0.627619	0.997718	-0.0650423	1	0.376262	0.214121	0.16192	0.372933	-0.637736	0.673954	1.22072	0.479942	0.300463	1
5417	-0.626073	0.996477	-0.0699184	1	0.417885	0.238398	0.171441	0.51924	-0.848416	0.102854	1.22525	0.483395	0.307039	1
5418	-0.626522	0.997186	-0.0748638	1	0.399051	0.218124	0.160313	0.440298	-0.768638	-0.46404	1.25214	0.497779	0.324982	1
5419	-0.629308	0.999562	-0.0782019	1	0.417885	0.248262	0.184493	0.17119	-0.34603	-0.922474	1.29876	0.523366	0.347669	1
5420	-0.632863	1.00254	-0.0782961	1	0.417885	0.242281	0.187821	-0.181822	0.187812	-0.965229	1.31985	0.5411	0.356138	1
5421	-0.635993	1.00494	-0.0758846	1	0.441749	0.266957	0.199226	-0.532241	0.574968	-0.621395	1.34143	0.575147	0.369947	1
5422	-0.637331	1.00574	-0.071238	1	0.439677	0.270516	0.214082	-0.690498	0.717879	-0.0886676	1.35762	0.603645	0.383982	1
5423	-0.636896	1.00526	-0.0665839	1	0.42671	0.277362	0.198069	-0.633542	0.670391	0.386265	1.34909	0.593073	0.372571	1
5424	-0.636724	1.00179	-0.063766	1	0.441058	0.255174	0.185325	-0.389264	0.299514	0.871071	1.36306	0.568989	0.359425	1
5425	-0.637926	1.00358	-0.0665923	1	0.462077	0.277614	0.204013	-0.694576	0.614938	0.373384	1.41131	0.617171	0.398925	1
5426	-0.638319	1.00409	-0.0711721	1	0.438987	0.286921	0.213401	-0.746106	0.659108	-0.0943535	1.41994	0.636036	0.415662	1
5427	-0.637334	1.00297	-0.0758063	1	0.45153	0.277854	0.198069	-0.588815	0.53693	-0.604155	1.412	0.620548	0.404995	1
5428	-0.635485	1.00022	-0.0780501	1	0.458587	0.267955	0.195956	-0.225965	0.18089	-0.957193	1.40651	0.598224	0.397415	1
5429	-0.634087	0.997186	-0.0780302	1	0.467465	0.275793	0.228255	0.182464	-0.339708	-0.922662	1.3864	0.583145	0.396687	1
